timestamp_utc,gpu0_used_mib,gpu1_used_mib,gpu0_util,gpu1_util
2026-09-26T14:47:33.980718+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:47:35.033315+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:47:36.089920+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:47:37.137774+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:47:38.186892+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:47:39.235179+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:47:40.284325+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:47:41.332558+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:47:42.381876+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:47:43.430248+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:47:44.479811+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:47:45.528034+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:47:46.574752+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:47:47.622055+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:47:48.670234+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:47:49.718600+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:47:50.767509+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:47:51.816073+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:47:52.864960+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:47:53.913027+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:47:54.962215+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:47:56.012785+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:47:57.062149+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:47:58.111477+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:47:59.160152+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:00.208473+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:01.256672+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:02.305125+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:03.356332+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:04.400619+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:05.450627+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:06.499338+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:07.547919+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:08.595107+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:09.643796+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:10.691973+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:11.740368+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:12.788820+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:13.837520+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:14.886176+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:15.933474+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:16.980612+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:18.029131+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:19.076872+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:20.124430+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:21.173641+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:22.222965+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:23.271729+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:24.319491+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:25.369072+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:26.417227+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:27.464388+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:28.512515+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:29.560659+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:30.609384+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:31.657678+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:32.705244+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:33.753601+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:34.801015+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:35.848720+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:36.897725+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:37.945698+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:38.992781+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:40.042951+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:41.091438+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:42.139822+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:43.186821+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:44.235737+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:45.283087+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:46.331998+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:47.379939+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:48.427005+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:49.478439+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:50.526022+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:51.575621+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:52.623437+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:53.672931+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:54.721232+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:55.768478+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:56.818057+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:57.865491+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:58.914605+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:48:59.963473+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:01.012283+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:02.059747+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:03.108095+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:04.157612+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:05.205677+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:06.254336+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:07.302862+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:08.350504+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:09.398238+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:10.446475+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:11.495504+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:12.544840+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:13.591947+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:14.641776+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:15.689849+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:16.736877+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:17.786976+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:18.835998+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:19.883915+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:20.932921+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:21.982437+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:23.030564+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:24.079822+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:25.127704+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:26.175380+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:27.225851+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:28.275789+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:29.324645+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:30.371968+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:31.421019+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:32.467260+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:33.514456+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:34.564083+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:35.612345+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:36.661452+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:37.709214+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:38.756429+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:39.805568+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:40.853680+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:41.901754+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:42.950351+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:43.998188+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:45.047400+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:46.094687+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:47.143446+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:48.192067+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:49.239377+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:50.287886+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:51.337708+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:52.386648+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:53.435960+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:54.485692+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:55.533602+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:56.581324+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:57.630435+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:58.678066+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:49:59.727563+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:50:00.775486+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:50:01.824073+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:50:02.873480+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:50:03.923599+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:50:04.971796+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:50:06.019959+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:50:07.069384+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:50:08.117763+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:50:09.166701+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:50:10.214889+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:50:11.264314+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:50:12.312459+00:00,0.0,0.0,0.0,0.0
2026-09-26T14:50:13.362420+00:00,0.0,0.0,0.0,0.0
