timestamp_utc,mem_total_kib,mem_available_kib,swap_total_kib,swap_used_kib,pswpin,pswpout,pgmajfault,gemma_rss_kib,gemma_pss_kib,gemma_swap_kib,ornith_rss_kib,ornith_pss_kib,ornith_swap_kib
2026-09-26T14:47:33.932192+00:00,64060288,43920232,4194300,36116,111846,1783061,111328,0,0,0,0,0,0
2026-09-26T14:47:34.934289+00:00,64060288,43927508,4194300,44948,111846,1784419,111332,0,0,0,0,0,0
2026-09-26T14:47:35.935449+00:00,64060288,43945780,4194300,61760,111872,1787352,111345,0,0,0,0,0,0
2026-09-26T14:47:36.936438+00:00,64060288,43939684,4194300,61760,111904,1787352,111390,0,0,0,0,0,0
2026-09-26T14:47:37.939371+00:00,64060288,43929436,4194300,61760,111931,1787352,111417,0,0,0,0,0,0
2026-09-26T14:47:38.943929+00:00,64060288,43875468,4194300,61760,111999,1787352,111504,0,0,0,0,0,0
2026-09-26T14:47:39.945010+00:00,64060288,43864156,4194300,61288,112887,1787353,111995,0,0,0,0,0,0
2026-09-26T14:47:40.945878+00:00,64060288,43928972,4194300,61288,112887,1787353,112383,0,0,0,0,0,0
2026-09-26T14:47:41.946600+00:00,64060288,43914576,4194300,61288,112887,1787353,112899,0,0,0,0,0,0
2026-09-26T14:47:42.947704+00:00,64060288,43907008,4194300,61288,112887,1787353,113458,0,0,0,0,0,0
2026-09-26T14:47:43.948506+00:00,64060288,43904072,4194300,61288,112887,1787353,113780,0,0,0,0,0,0
2026-09-26T14:47:44.949624+00:00,64060288,43884912,4194300,61288,112888,1787353,114731,0,0,0,0,0,0
2026-09-26T14:47:45.951055+00:00,64060288,43869740,4194300,61288,112888,1787353,115450,0,0,0,0,0,0
2026-09-26T14:47:46.951797+00:00,64060288,43849284,4194300,59772,112893,1787353,115488,0,0,0,0,0,0
2026-09-26T14:47:47.952561+00:00,64060288,43850056,4194300,59772,112893,1787353,115556,0,0,0,0,0,0
2026-09-26T14:47:48.953330+00:00,64060288,43862200,4194300,59772,112893,1787353,115627,0,0,0,0,0,0
2026-09-26T14:47:49.954099+00:00,64060288,43861008,4194300,59772,112893,1787353,115673,0,0,0,0,0,0
2026-09-26T14:47:50.954910+00:00,64060288,43872472,4194300,59772,112899,1787353,115704,0,0,0,0,0,0
2026-09-26T14:47:51.955748+00:00,64060288,43873192,4194300,59772,112899,1787353,115709,0,0,0,0,0,0
2026-09-26T14:47:52.956516+00:00,64060288,43862972,4194300,59772,112899,1787353,115716,0,0,0,0,0,0
2026-09-26T14:47:53.957302+00:00,64060288,43867724,4194300,59772,112899,1787353,115720,0,0,0,0,0,0
2026-09-26T14:47:54.958012+00:00,64060288,43849536,4194300,59772,112899,1787353,115731,0,0,0,0,0,0
2026-09-26T14:47:55.958752+00:00,64060288,43869628,4194300,59772,112899,1787353,115734,0,0,0,0,0,0
2026-09-26T14:47:56.959483+00:00,64060288,43856804,4194300,59772,112899,1787353,115868,0,0,0,0,0,0
2026-09-26T14:47:57.960232+00:00,64060288,43866944,4194300,59772,112899,1787353,115907,0,0,0,0,0,0
2026-09-26T14:47:58.961056+00:00,64060288,43864612,4194300,59772,112899,1787353,115908,0,0,0,0,0,0
2026-09-26T14:47:59.961808+00:00,64060288,43866264,4194300,59772,112899,1787353,115911,0,0,0,0,0,0
2026-09-26T14:48:00.962618+00:00,64060288,43862564,4194300,59772,112907,1787353,115930,0,0,0,0,0,0
2026-09-26T14:48:01.963362+00:00,64060288,43863504,4194300,59772,112907,1787353,115930,0,0,0,0,0,0
2026-09-26T14:48:02.964282+00:00,64060288,43858468,4194300,59772,112907,1787353,115933,0,0,0,0,0,0
2026-09-26T14:48:03.965071+00:00,64060288,43836600,4194300,59772,112911,1787353,115938,0,0,0,0,0,0
2026-09-26T14:48:04.965862+00:00,64060288,43808660,4194300,59772,112911,1787353,115951,0,0,0,0,0,0
2026-09-26T14:48:05.966666+00:00,64060288,43820140,4194300,59772,112912,1787353,115965,0,0,0,0,0,0
2026-09-26T14:48:06.967443+00:00,64060288,43827248,4194300,59772,112912,1787353,115969,0,0,0,0,0,0
2026-09-26T14:48:07.968210+00:00,64060288,43845244,4194300,59768,112912,1787353,115993,0,0,0,0,0,0
2026-09-26T14:48:08.969096+00:00,64060288,43834540,4194300,59764,112912,1787353,115999,0,0,0,0,0,0
