timestamp_utc,mem_total_kib,mem_available_kib,swap_total_kib,swap_used_kib,pswpin,pswpout,pgmajfault,gemma_rss_kib,gemma_pss_kib,gemma_swap_kib,ornith_rss_kib,ornith_pss_kib,ornith_swap_kib
2026-09-26T16:14:08.308155+00:00,64060288,43551900,4194300,51000,113586,1787527,120227,0,0,0,0,0,0
2026-09-26T16:14:09.310381+00:00,64060288,43523868,4194300,51000,113596,1787527,120236,0,0,0,0,0,0
2026-09-26T16:14:10.311561+00:00,64060288,43513956,4194300,51000,113597,1787527,120237,0,0,0,0,0,0
2026-09-26T16:14:11.312698+00:00,64060288,43514200,4194300,51000,113597,1787527,120237,0,0,0,0,0,0
2026-09-26T16:14:12.313807+00:00,64060288,43509652,4194300,51000,113603,1787527,120242,0,0,0,0,0,0
2026-09-26T16:14:13.315538+00:00,64060288,43480036,4194300,51000,113603,1787527,120329,0,0,0,0,0,0
2026-09-26T16:14:14.316318+00:00,64060288,43471740,4194300,51000,113603,1787527,120447,0,0,0,0,0,0
2026-09-26T16:14:15.317167+00:00,64060288,43498972,4194300,51000,113603,1787527,120534,0,0,0,0,0,0
2026-09-26T16:14:16.317914+00:00,64060288,43506900,4194300,51000,113603,1787527,120551,0,0,0,0,0,0
2026-09-26T16:14:17.318658+00:00,64060288,43466684,4194300,51000,113603,1787527,120576,0,0,0,0,0,0
2026-09-26T16:14:18.319432+00:00,64060288,43472492,4194300,51000,113603,1787527,120619,0,0,0,0,0,0
2026-09-26T16:14:19.320208+00:00,64060288,43493356,4194300,51000,113603,1787527,120720,0,0,0,0,0,0
2026-09-26T16:14:20.320957+00:00,64060288,43481156,4194300,51000,113603,1787527,120914,0,0,0,0,0,0
2026-09-26T16:14:21.321695+00:00,64060288,43446396,4194300,51000,113603,1787527,120998,0,0,0,0,0,0
2026-09-26T16:14:22.322468+00:00,64060288,43443900,4194300,51000,113603,1787527,121020,0,0,0,0,0,0
2026-09-26T16:14:23.323193+00:00,64060288,43436876,4194300,51000,113603,1787527,121030,0,0,0,0,0,0
2026-09-26T16:14:24.323888+00:00,64060288,43455516,4194300,51000,113603,1787527,121030,0,0,0,0,0,0
2026-09-26T16:14:25.324645+00:00,64060288,43478508,4194300,51000,113603,1787527,121030,0,0,0,0,0,0
2026-09-26T16:14:26.325393+00:00,64060288,43453660,4194300,51000,113603,1787527,121052,0,0,0,0,0,0
2026-09-26T16:14:27.326170+00:00,64060288,43467844,4194300,51000,113603,1787527,121084,0,0,0,0,0,0
2026-09-26T16:14:28.326923+00:00,64060288,43459680,4194300,51000,113603,1787527,121121,0,0,0,0,0,0
2026-09-26T16:14:29.327637+00:00,64060288,43463736,4194300,51000,113603,1787527,121125,0,0,0,0,0,0
2026-09-26T16:14:30.328364+00:00,64060288,43472684,4194300,51000,113603,1787527,121137,0,0,0,0,0,0
2026-09-26T16:14:31.329164+00:00,64060288,43479788,4194300,51000,113603,1787527,121147,0,0,0,0,0,0
2026-09-26T16:14:32.329959+00:00,64060288,43481480,4194300,51000,113603,1787527,121147,0,0,0,0,0,0
2026-09-26T16:14:33.330646+00:00,64060288,43495428,4194300,51000,113603,1787527,121151,0,0,0,0,0,0
2026-09-26T16:14:34.331424+00:00,64060288,43510132,4194300,51000,113603,1787527,121154,0,0,0,0,0,0
2026-09-26T16:14:35.332112+00:00,64060288,43513284,4194300,51000,113603,1787527,121161,0,0,0,0,0,0
2026-09-26T16:14:36.332895+00:00,64060288,43503172,4194300,51000,113603,1787527,121180,0,0,0,0,0,0
2026-09-26T16:14:37.333686+00:00,64060288,43497252,4194300,51000,113603,1787527,121180,0,0,0,0,0,0
2026-09-26T16:14:38.334533+00:00,64060288,43493312,4194300,51000,113603,1787527,121188,0,0,0,0,0,0
2026-09-26T16:14:39.335303+00:00,64060288,43503440,4194300,51000,113603,1787527,121190,0,0,0,0,0,0
2026-09-26T16:14:40.336043+00:00,64060288,43505220,4194300,51000,113603,1787527,121192,0,0,0,0,0,0
2026-09-26T16:14:41.336783+00:00,64060288,43492008,4194300,51000,113603,1787527,121192,0,0,0,0,0,0
2026-09-26T16:14:42.337519+00:00,64060288,43508388,4194300,51000,113603,1787527,121192,0,0,0,0,0,0
2026-09-26T16:14:43.338321+00:00,64060288,43499740,4194300,51000,113603,1787527,121201,0,0,0,0,0,0
2026-09-26T16:14:44.339080+00:00,64060288,43482720,4194300,51000,113603,1787527,121215,0,0,0,0,0,0
2026-09-26T16:14:45.339767+00:00,64060288,43486956,4194300,51000,113603,1787527,121215,0,0,0,0,0,0
2026-09-26T16:14:46.340529+00:00,64060288,43496772,4194300,51000,113603,1787527,121215,0,0,0,0,0,0
2026-09-26T16:14:47.341301+00:00,64060288,43480168,4194300,51000,113603,1787527,121215,0,0,0,0,0,0
2026-09-26T16:14:48.342104+00:00,64060288,43494304,4194300,51000,113603,1787527,121215,0,0,0,0,0,0
2026-09-26T16:14:49.342872+00:00,64060288,43512880,4194300,51000,113603,1787527,121215,0,0,0,0,0,0
2026-09-26T16:14:50.343625+00:00,64060288,43480168,4194300,51000,113603,1787527,121219,0,0,0,0,0,0
2026-09-26T16:14:51.344371+00:00,64060288,43465628,4194300,51000,113603,1787527,121219,0,0,0,0,0,0
2026-09-26T16:14:52.345128+00:00,64060288,43475956,4194300,51000,113603,1787527,121227,0,0,0,0,0,0
2026-09-26T16:14:53.345929+00:00,64060288,43461900,4194300,51000,113603,1787527,121227,0,0,0,0,0,0
2026-09-26T16:14:54.346671+00:00,64060288,43477620,4194300,51000,113603,1787527,121231,0,0,0,0,0,0
2026-09-26T16:14:55.347498+00:00,64060288,43468072,4194300,51000,113603,1787527,121235,0,0,0,0,0,0
2026-09-26T16:14:56.348297+00:00,64060288,43446296,4194300,51000,113603,1787527,121235,0,0,0,0,0,0
2026-09-26T16:14:57.349068+00:00,64060288,43468644,4194300,51000,113603,1787527,121235,0,0,0,0,0,0
2026-09-26T16:14:58.349821+00:00,64060288,43482208,4194300,51000,113603,1787527,121235,0,0,0,0,0,0
2026-09-26T16:14:59.350533+00:00,64060288,43473212,4194300,51000,113603,1787527,121235,0,0,0,0,0,0
2026-09-26T16:15:00.351278+00:00,64060288,43467100,4194300,51000,113603,1787527,121235,0,0,0,0,0,0
2026-09-26T16:15:01.352066+00:00,64060288,43490372,4194300,51000,113603,1787527,121239,0,0,0,0,0,0
2026-09-26T16:15:02.352853+00:00,64060288,43484340,4194300,51000,113603,1787527,121239,0,0,0,0,0,0
2026-09-26T16:15:03.353632+00:00,64060288,43481976,4194300,51000,113603,1787527,121239,0,0,0,0,0,0
2026-09-26T16:15:04.354403+00:00,64060288,43510164,4194300,51000,113603,1787527,121241,0,0,0,0,0,0
2026-09-26T16:15:05.355167+00:00,64060288,43505424,4194300,51000,113603,1787527,121241,0,0,0,0,0,0
2026-09-26T16:15:06.355916+00:00,64060288,43487408,4194300,51000,113603,1787527,121241,0,0,0,0,0,0
2026-09-26T16:15:07.356624+00:00,64060288,43503916,4194300,51000,113603,1787527,121245,0,0,0,0,0,0
2026-09-26T16:15:08.357455+00:00,64060288,43529512,4194300,51000,113603,1787527,121245,0,0,0,0,0,0
2026-09-26T16:15:09.358263+00:00,64060288,43512844,4194300,51000,113603,1787527,121245,0,0,0,0,0,0
2026-09-26T16:15:10.358987+00:00,64060288,43500152,4194300,51000,113603,1787527,121257,0,0,0,0,0,0
2026-09-26T16:15:11.359740+00:00,64060288,43513644,4194300,51000,113603,1787527,121261,0,0,0,0,0,0
2026-09-26T16:15:12.360480+00:00,64060288,43504016,4194300,51000,113603,1787527,121261,0,0,0,0,0,0
2026-09-26T16:15:13.361228+00:00,64060288,43504912,4194300,51000,113603,1787527,121261,0,0,0,0,0,0
2026-09-26T16:15:14.361925+00:00,64060288,43507284,4194300,51000,113603,1787527,121261,0,0,0,0,0,0
2026-09-26T16:15:15.362661+00:00,64060288,43518284,4194300,51000,113603,1787527,121261,0,0,0,0,0,0
2026-09-26T16:15:16.363411+00:00,64060288,43505992,4194300,51000,113603,1787527,121261,0,0,0,0,0,0
2026-09-26T16:15:17.364206+00:00,64060288,43506128,4194300,51000,113603,1787527,121261,0,0,0,0,0,0
2026-09-26T16:15:18.364981+00:00,64060288,43484072,4194300,51000,113603,1787527,121266,0,0,0,0,0,0
2026-09-26T16:15:19.365770+00:00,64060288,43481200,4194300,51000,113603,1787527,121266,0,0,0,0,0,0
2026-09-26T16:15:20.366505+00:00,64060288,43490748,4194300,51000,113603,1787527,121266,0,0,0,0,0,0
2026-09-26T16:15:21.367269+00:00,64060288,43490068,4194300,51000,113603,1787527,121266,0,0,0,0,0,0
2026-09-26T16:15:22.368065+00:00,64060288,43505844,4194300,51000,113603,1787527,121266,0,0,0,0,0,0
2026-09-26T16:15:23.368825+00:00,64060288,43489008,4194300,51000,113603,1787527,121271,0,0,0,0,0,0
2026-09-26T16:15:24.369567+00:00,64060288,43492016,4194300,51000,113603,1787527,121271,0,0,0,0,0,0
2026-09-26T16:15:25.370367+00:00,64060288,43474476,4194300,51000,113603,1787527,121271,0,0,0,0,0,0
2026-09-26T16:15:26.371175+00:00,64060288,43496452,4194300,51000,113603,1787527,121271,0,0,0,0,0,0
2026-09-26T16:15:27.371983+00:00,64060288,43487976,4194300,51000,113603,1787527,121271,0,0,0,0,0,0
2026-09-26T16:15:28.372772+00:00,64060288,43512580,4194300,51000,113603,1787527,121271,0,0,0,0,0,0
2026-09-26T16:15:29.373521+00:00,64060288,43483772,4194300,51000,113603,1787527,121271,0,0,0,0,0,0
2026-09-26T16:15:30.374289+00:00,64060288,43498620,4194300,51000,113603,1787527,121271,0,0,0,0,0,0
2026-09-26T16:15:31.375087+00:00,64060288,43482012,4194300,51000,113603,1787527,121271,0,0,0,0,0,0
2026-09-26T16:15:32.375878+00:00,64060288,43497424,4194300,51000,113603,1787527,121271,0,0,0,0,0,0
2026-09-26T16:15:33.376652+00:00,64060288,43510168,4194300,51000,113603,1787527,121271,0,0,0,0,0,0
2026-09-26T16:15:34.377383+00:00,64060288,43513224,4194300,51000,113603,1787527,121271,0,0,0,0,0,0
2026-09-26T16:15:35.378165+00:00,64060288,43485752,4194300,51000,113603,1787527,121271,0,0,0,0,0,0
2026-09-26T16:15:36.378898+00:00,64060288,43476824,4194300,51000,113603,1787527,121271,0,0,0,0,0,0
2026-09-26T16:15:37.379636+00:00,64060288,43493600,4194300,51000,113603,1787527,121271,0,0,0,0,0,0
2026-09-26T16:15:38.380384+00:00,64060288,43494392,4194300,51000,113603,1787527,121271,0,0,0,0,0,0
2026-09-26T16:15:39.381056+00:00,64060288,43497756,4194300,51000,113603,1787527,121271,0,0,0,0,0,0
2026-09-26T16:15:40.381865+00:00,64060288,43475648,4194300,51000,113608,1787527,121275,0,0,0,0,0,0
2026-09-26T16:15:41.382696+00:00,64060288,43479776,4194300,51000,113608,1787527,121275,0,0,0,0,0,0
2026-09-26T16:15:42.383500+00:00,64060288,43470760,4194300,51000,113608,1787527,121275,0,0,0,0,0,0
2026-09-26T16:15:43.384311+00:00,64060288,43461884,4194300,51000,113608,1787527,121280,0,0,0,0,0,0
2026-09-26T16:15:44.385102+00:00,64060288,43444860,4194300,51000,113608,1787527,121280,0,0,0,0,0,0
2026-09-26T16:15:45.385905+00:00,64060288,43485888,4194300,51000,113608,1787527,121280,0,0,0,0,0,0
2026-09-26T16:15:46.386686+00:00,64060288,43468984,4194300,51000,113608,1787527,121280,0,0,0,0,0,0
2026-09-26T16:15:47.387452+00:00,64060288,43477316,4194300,51000,113608,1787527,121280,0,0,0,0,0,0
2026-09-26T16:15:48.388232+00:00,64060288,43479688,4194300,51000,113608,1787527,121282,0,0,0,0,0,0
2026-09-26T16:15:49.389015+00:00,64060288,43470640,4194300,51000,113608,1787527,121282,0,0,0,0,0,0
2026-09-26T16:15:50.389811+00:00,64060288,43475572,4194300,51000,113608,1787527,121282,0,0,0,0,0,0
2026-09-26T16:15:51.390540+00:00,64060288,43471652,4194300,51000,113608,1787527,121282,0,0,0,0,0,0
2026-09-26T16:15:52.391302+00:00,64060288,43456668,4194300,51000,113608,1787527,121283,0,0,0,0,0,0
2026-09-26T16:15:53.392069+00:00,64060288,43474892,4194300,51000,113608,1787527,121283,0,0,0,0,0,0
2026-09-26T16:15:54.392875+00:00,64060288,43426052,4194300,51000,113608,1787527,121283,0,0,0,0,0,0
2026-09-26T16:15:55.393627+00:00,64060288,43451028,4194300,51000,113608,1787527,121283,0,0,0,0,0,0
2026-09-26T16:15:56.394385+00:00,64060288,43430496,4194300,51000,113608,1787527,121283,0,0,0,0,0,0
2026-09-26T16:15:57.395240+00:00,64060288,43430696,4194300,51000,113608,1787527,121283,0,0,0,0,0,0
2026-09-26T16:15:58.395986+00:00,64060288,43394820,4194300,51000,113608,1787527,121283,0,0,0,0,0,0
2026-09-26T16:15:59.396798+00:00,64060288,43411852,4194300,51000,113608,1787527,121283,0,0,0,0,0,0
2026-09-26T16:16:00.397596+00:00,64060288,43434304,4194300,51000,113608,1787527,121283,0,0,0,0,0,0
2026-09-26T16:16:01.398420+00:00,64060288,43477064,4194300,51000,113608,1787527,121283,0,0,0,0,0,0
2026-09-26T16:16:02.399185+00:00,64060288,43492892,4194300,51000,113608,1787527,121283,0,0,0,0,0,0
2026-09-26T16:16:03.399950+00:00,64060288,43489708,4194300,51000,113608,1787527,121283,0,0,0,0,0,0
2026-09-26T16:16:04.400677+00:00,64060288,43482476,4194300,51000,113608,1787527,121283,0,0,0,0,0,0
2026-09-26T16:16:05.401412+00:00,64060288,43450784,4194300,51000,113612,1787527,121287,0,0,0,0,0,0
2026-09-26T16:16:06.402192+00:00,64060288,43449988,4194300,51000,113612,1787527,121287,0,0,0,0,0,0
2026-09-26T16:16:07.402997+00:00,64060288,43433552,4194300,51000,113612,1787527,121287,0,0,0,0,0,0
2026-09-26T16:16:08.403746+00:00,64060288,43412384,4194300,51000,113612,1787527,121287,0,0,0,0,0,0
2026-09-26T16:16:09.404501+00:00,64060288,43410208,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:10.405309+00:00,64060288,43422328,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:11.406119+00:00,64060288,43450660,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:12.406947+00:00,64060288,43456372,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:13.407708+00:00,64060288,43472056,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:14.408472+00:00,64060288,43467292,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:15.409261+00:00,64060288,43462264,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:16.409976+00:00,64060288,43460684,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:17.410765+00:00,64060288,43467220,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:18.411518+00:00,64060288,43470988,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:19.412268+00:00,64060288,43462224,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:20.413025+00:00,64060288,43477688,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:21.413777+00:00,64060288,43496188,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:22.414521+00:00,64060288,43512484,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:23.415397+00:00,64060288,43493632,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:24.416145+00:00,64060288,43465512,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:25.416948+00:00,64060288,43465672,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:26.417762+00:00,64060288,43470900,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:27.418561+00:00,64060288,43477204,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:28.419341+00:00,64060288,43480700,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:29.420096+00:00,64060288,43496304,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:30.420845+00:00,64060288,43490032,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:31.421612+00:00,64060288,43518596,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:32.422409+00:00,64060288,43520868,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:33.423196+00:00,64060288,43530104,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:34.423965+00:00,64060288,43531348,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:35.424779+00:00,64060288,43525664,4194300,51000,113613,1787527,121288,0,0,0,0,0,0
2026-09-26T16:16:36.425543+00:00,64060288,43535880,4194300,51000,113613,1787527,121292,0,0,0,0,0,0
2026-09-26T16:16:37.426187+00:00,64060288,43535472,4194300,51000,113613,1787527,121292,0,0,0,0,0,0
2026-09-26T16:16:38.426985+00:00,64060288,43506856,4194300,51000,113613,1787527,121292,0,0,0,0,0,0
2026-09-26T16:16:39.427784+00:00,64060288,43523504,4194300,51000,113613,1787527,121292,0,0,0,0,0,0
2026-09-26T16:16:40.428522+00:00,64060288,43502204,4194300,51000,113613,1787527,121292,0,0,0,0,0,0
2026-09-26T16:16:41.429246+00:00,64060288,43516736,4194300,51000,113613,1787527,121292,0,0,0,0,0,0
2026-09-26T16:16:42.429988+00:00,64060288,43496144,4194300,51000,113613,1787527,121292,0,0,0,0,0,0
2026-09-26T16:16:43.430711+00:00,64060288,43508352,4194300,51000,113613,1787527,121292,0,0,0,0,0,0
2026-09-26T16:16:44.431467+00:00,64060288,43533528,4194300,51000,113613,1787527,121292,0,0,0,0,0,0
2026-09-26T16:16:45.432248+00:00,64060288,43517348,4194300,51000,113613,1787527,121296,0,0,0,0,0,0
2026-09-26T16:16:46.433047+00:00,64060288,43499488,4194300,51000,113614,1787527,121297,0,0,0,0,0,0
2026-09-26T16:16:47.433817+00:00,64060288,43489956,4194300,51000,113614,1787527,121297,0,0,0,0,0,0
2026-09-26T16:16:48.434981+00:00,64060288,43489024,4194300,51000,113614,1787527,121297,0,0,0,0,0,0
2026-09-26T16:16:49.435775+00:00,64060288,43486104,4194300,51000,113614,1787527,121297,0,0,0,0,0,0
2026-09-26T16:16:50.436613+00:00,64060288,43477336,4194300,51000,113614,1787527,121297,0,0,0,0,0,0
2026-09-26T16:16:51.437390+00:00,64060288,43488044,4194300,51000,113614,1787527,121297,0,0,0,0,0,0
2026-09-26T16:16:52.438147+00:00,64060288,43482056,4194300,51000,113614,1787527,121297,0,0,0,0,0,0
2026-09-26T16:16:53.438876+00:00,64060288,43507776,4194300,51000,113614,1787527,121297,0,0,0,0,0,0
2026-09-26T16:16:54.439608+00:00,64060288,43509968,4194300,51000,113614,1787527,121297,0,0,0,0,0,0
2026-09-26T16:16:55.440400+00:00,64060288,43502808,4194300,51000,113614,1787527,121297,0,0,0,0,0,0
2026-09-26T16:16:56.441241+00:00,64060288,43505476,4194300,51000,113614,1787527,121297,0,0,0,0,0,0
2026-09-26T16:16:57.442017+00:00,64060288,43491832,4194300,51000,113614,1787527,121297,0,0,0,0,0,0
2026-09-26T16:16:58.442788+00:00,64060288,43477696,4194300,51000,113614,1787527,121297,0,0,0,0,0,0
2026-09-26T16:16:59.443531+00:00,64060288,43495824,4194300,51000,113614,1787527,121297,0,0,0,0,0,0
2026-09-26T16:17:00.444279+00:00,64060288,43495468,4194300,51000,113614,1787527,121297,0,0,0,0,0,0
2026-09-26T16:17:01.445094+00:00,64060288,43504628,4194300,51000,113614,1787527,121297,0,0,0,0,0,0
